id,Label,example
2325,audio,down the speaker volume at the end of level
6320,general,do you think i should see a movie or go out to dinner
3516,weather,what is the chance of precipitation in todays weather
6233,general,olly i met my future wife today please set up a date next friday
10775,lists,do i have a list of contacts for the party i'm planning
10878,lists,i want to make a list and this should be automatically saved as a text file with the title list
10019,cooking,please tell me how to i bake twelve oatmeal cookies
11666,recommendation,i'm looking for some dress shows can you find clothing stores within one mile
4081,alarm,i want to set an alarm when i'm driving home tomorrow to remember to stop at the store and get food
1195,play,i'd love to hear any song that i've given five stars by serge gainsbourg
6396,general,what's the stupidest question anyone ever asked you
13260,qa,list the celebrities who have been in my country in the last five years
10671,lists,remove the list of apps which started with letter a
1701,iot,start my robot vacuum cleaner by ten to eleven am daily
10670,lists,remove the list of person starting from letter medium in my contact list
15919,email,i need to add this new contact for sam smith ssmith at yahoo dot com
13028,qa,find out for me what the topic is of each oswald chambers book
2791,weather,what is the five days forecast looking like in new york city
12220,transport,tell me how to get from here to the chimes in covington
3050,iot,change my light color to blue and please turn off the kitchen light
10592,lists,please make a list of thing i have to shop tomorrow
12976,qa,search google shopping for the best price on a monoprice mxblue mechanical keyboard
13020,qa,divide one thousand five hundred by one hundred and sixty
2565,alarm,need an alarm set for sunday at five in the morning
1693,music,what music service has some soul music i can listen to
13113,qa,please give me information next movie of aamir khan
1729,weather,please tell me if there will be sun with no clouds on friday of this week
306,takeaway,i would like to have a sushi can you order me a lunch
13190,qa,tell me which mutual funds have maximum yearly returns
3462,alarm,send me a wake up alert at seven am tomorrow morning
15753,email,when did i get an email from john smith about car accident
15274,social,please scan my social media and tell me what's happening
6376,recommendation,what is a good iranian film from two thousand and sixteen
10871,lists,add pick up kids from school to my to do list for today
1562,iot,its dark in here mind turning up the light intensity
6366,recommendation,tell me some best tourist places to visit in america
1082,audio,your volume is too high please repeat that lower
1731,takeaway,checkout top restaurant near me and order shahi panner
1347,datetime,one hundred and fifty thousand two hundred and seventeenth
2868,iot,please get the coffee machine to make me some coffee
9971,cooking,what conducts heat better copper bottomed pots or cast iron
1449,datetime,when is easter in the year two thousand and eighteen
1522,audio,increase the volume of the left speaker by ten
6818,calendar,i need to remember to get to the shops before they close
1440,play,play the latest rock songs having rating of four or above
1638,news,how many new articles have been posted at u. s. a. today in the past hour
1791,music,is it possible for you to provide the likes of my music
