id,example,Label
ss188518,im able to deal with the crazy without feeling vulnerable a few weeks before due date or while caring for a newborn,fear
ss372673,i didnt post them as for the most part i feel sympathetic to the gay people i know and find them gentle and kind,love
ss221348,i really like it because it makes me feel like im actually devoted to something,love
ss368361,i am however feeling very positive as im starting to get more teaching requests and i just submitted my class list for vogue live ny,joy
ss200740,i first looked at it i thought of the gift that it is when we do not worry when we feel peaceful inside,joy
ss230420,i hope it feels supportive to you,love
ss104440,i feel hopeless because i don t know how to mitigate it,sadness
ss381044,i feel sort of numbly resigned to the fact that buffy will probably be the next to go downhill,sadness
ss304623,i suppose i m more drawn to the flowy and stylish styles of riding and i feel like i can be as free as i want with dancing,joy
ss320481,i was still feeling love and desire i was pretty pissed off too,anger
ss390559,i could feel my discontent in the atmosphere around me,sadness
ss188220,i notice is that there a several spelling mistakes early on which makes me feel a little sceptical about someone who professes to make millions by writing,fear
ss245302,i start to feel a tad irritated about having to go to work and seeing that he gets to stay home all day,anger
ss209411,i feel really agitated lately i cannot tell you why because i dont know myself,anger
ss191812,i feel like i am repeating myself but i continue to be amazed that folks from church work karate and scouts not only offer their help but in many cases do so with a certain forcefulness that moves me to speechlessness which for those of you who know me is quite a feat,surprise
ss188266,id experience all the feelings i have been experiencing and as much as i knew id feel bitter angry sadness overwhelmingness fear isolation etc,anger
ss394082,i sort of got the feeling that i had stepped into the mind of a romantic smoking pot,love
ss297753,i just feel overwhelmed with this parenting gig,fear
ss204717,i actually feel amazing,surprise
ss25896,i do have lots of spare time while studying private but if there isnt anything bothering me i wont feel so troubled,sadness
ss150572,i am feeling a mix of emotions i am eager to take the exam i wonder what will i be questioning about i fear about how will i perform in the test i feel relief to finally take the gmat,joy
ss365091,i diss a bag only when i m feeling grouchy because of the lack of any inspiration whatsoever when it comes to fug bags but today i m not grouchy and it still sets me of which means this is a big deal,anger
ss235491,i write this i feel very tender thinking about katie,love
ss78667,i had not kept up my end of the bargain and therefore i needed to be reminded that i should feel guilty about living off his pay cheque,sadness
ss265048,i really did sadistically enjoy watching marni admit that it had been a terrible year for her it didn t feel fake but she never actually got to hit rock bottom,sadness
ss321924,ive been feeling very lethargic and exhausted over the past few months and im guessing its due to a lack of iron,sadness
ss225081,i feel like my body is trusting me,joy
ss171006,im feeling sad today,sadness
ss52818,i feel ok lol,joy
ss353708,i see people reaching their goals i feel lousy about myself,sadness
ss58769,i feel he did a fantastic job in just the right amount of conversation between holmes watson and the nurses,joy
ss60298,i said its difficult to feel like were being productive when there are so many oftentimes different things that need to be done,joy
ss95916,i feel fabulous and then there can be a loss of enthusiasm,joy
ss100656,i feel greedy and selfish all over again because even though she did get pregnant i want to be too,anger
ss14116,i feel like she is sincere to help,joy
ss265553,i can be very good he murmurs against her neck sliding a hand underneath her skirt and feeling the garters with gentle teasing fingertips though it seems that you re the one having some trouble with that now,love
ss318805,i feel helpless to fix this,sadness
ss135114,i had a cold the week before christmas so i was not feeling very festive,joy
ss18746,im left feeling bitter about everything,anger
ss400622,im feeling confident in my pok mon then i may challenge the gym leader in the evening,joy
ss141464,i also feel like a relationship between ed and nick would have to be a friendly rather than a passionate affair so there wouldnt be anything in that respect to stand in tims way,joy
ss137041,ill continue this update tomorrow as i suddenly feel like sleep would be a splendid idea,joy
ss43179,i feel as her fingers play with the tender flesh and it seems as if shes applying pressure directly into my vocal chords somehow damaging them,love
ss365574,i feel triumphant right now,joy
ss181313,i no longer feel distraught,fear
ss123711,i feel club athletes are not supporting this national event this year is because of the totally change of the course from last year,love
ss91463,i feel for you that horrible coughing you can t stop is a horrible symptom,sadness
ss144357,i feel kind of rebellious and tricky kind of above the law,anger
ss264840,i left feeling like i had been entertained and it was a very lighthearted feeling that i had,joy
ss126881,i dont want this anymore because i feel humiliated,sadness
ss389370,i cant help but feel like i missed january and february like it snuck right past me while i wasnt looking,sadness
ss228679,i have been to salcombe so many times over the last five years it now feels strange to me if the mates arent there with us,fear
ss273879,i realized that the reason so many people feel unimportant is because of how they think of other people in the world,sadness
ss131934,i don t actually feel completely resolved about it but i want to write about it here to see if i can make sense of things,joy
ss171345,i still feel stupid rude and naive for judging her exactly as i have been unfairly judged,sadness
ss229588,im sick of the feeling that remains in your heart chest after youve just been startled,fear
ss148165,i have been feeling a little discouraged with the process so i felt the need to just pray,sadness
ss276337,i used to feel a little bit anxious about running with my husband he runs faster than i do and i worried that id hold him back or that id do myself a mischief trying to keep up with him,fear
ss144214,i have a better understanding of why people behave like this and thus i feel calmer and more compassionate when i see this sort of behavior,love
ss254762,i feel abused morally financially psychologically,sadness
ss27872,i am very angry and feel ashamed of it,sadness
